boro,neighbourhood,rating,price,room_type,latitude,longitude
Queens,Ozone Park,4,185,Entire home/apt,40.6844902113729,-73.8616702501258
Queens,Ozone Park,4.5,35,Private room,40.6886787876908,-73.8405793248944
Queens,Ozone Park,5,79,Entire home/apt,40.6757446170052,-73.8560127955674
Queens,Ozone Park,4.5,50,Private room,40.6736536421657,-73.8495564806857
Queens,Ozone Park,4.5,79,Entire home/apt,40.687916285111,-73.8375223590245
Queens,Ozone Park,4.5,335,Entire home/apt,40.6797352218664,-73.8441345281039
Queens,Ozone Park,4.5,125,Entire home/apt,40.6834538563295,-73.8337782215485
Queens,Ozone Park,4,70,Private room,40.6889144583689,-73.8402494339359
Queens,Ozone Park,4.5,84,Entire home/apt,40.6839927396446,-73.8507105441644
Queens,Ozone Park,4,45,Entire home/apt,40.6828833472773,-73.8603629502395
Queens,Ozone Park,4.5,65,Private room,40.6828650255831,-73.8598077477991
Queens,Ozone Park,2.5,85,Entire home/apt,40.682851805643,-73.8524777945131
Queens,Ozone Park,4.5,99,Entire home/apt,40.6855940646668,-73.8495959815486
Queens,Ozone Park,4,99,Entire home/apt,40.6792387170034,-73.847714076754
Bronx,Fordham,3,35,Private room,40.8559813730729,-73.9005152050581
Bronx,Fordham,4.5,60,Entire home/apt,40.8636283352,-73.8947872339002
Bronx,Fordham,4.5,35,Private room,40.8592689894506,-73.9014245360326
Bronx,Fordham,4.5,100,Entire home/apt,40.8645847662137,-73.8882736663416
Bronx,Fordham,4,60,Private room,40.8709341278186,-73.8933967256447
Bronx,Fordham,5,45,Private room,40.8592850260458,-73.9004774552589
Bronx,Fordham,5,34,Private room,40.8539579202574,-73.8987181178327
Bronx,Fordham,4,100,Private room,40.8619626750804,-73.9007509738753
Bronx,Fordham,4.5,65,Private room,40.8703521129414,-73.8933529780566
Bronx,Fordham,4.5,70,Private room,40.8703070344399,-73.8932208818591
Bronx,Fordham,4,55,Private room,40.8702041817591,-73.8933890356001
Bronx,Fordham,4.5,65,Private room,40.8692500485685,-73.8953409875736
Bronx,Fordham,4.5,65,Entire home/apt,40.8585920224129,-73.895714547561
Bronx,Fordham,5,62,Private room,40.8627101530074,-73.8854482059024
Bronx,Fordham,5,65,Private room,40.8690907133659,-73.8939619883892
Bronx,Fordham,4,40,Private room,40.8525968639486,-73.8993830409651
Queens,Whitestone,4.5,100,Entire home/apt,40.786470396188,-73.8216051094785
Queens,Whitestone,5,45,Private room,40.7802864127095,-73.8038480534438
Queens,Whitestone,5,400,Entire home/apt,40.7972086453582,-73.8160032699014
Staten Island,Arden Heights,5,35,Private room,40.5516586792069,-74.1689517393173
Staten Island,Arden Heights,5,60,Entire home/apt,40.5576854199191,-74.1715563688812
Staten Island,Arden Heights,4.5,37,Private room,40.5514195153601,-74.1690100245137
Staten Island,Arden Heights,5,39,Private room,40.5507340398191,-74.1690521262801
Staten Island,Arden Heights,5,150,Entire home/apt,40.5512922455723,-74.1692545394513
Staten Island,Arden Heights,5,55,Private room,40.548637194236,-74.170486336346
Staten Island,Arrochar,4.5,250,Entire home/apt,40.5925121862575,-74.0647894606097
Staten Island,Arrochar,4.5,70,Entire home/apt,40.5903681805407,-74.0781613424185
Staten Island,Arrochar,4,27,Private room,40.5967875400748,-74.0829969027995
Staten Island,Arrochar,5,60,Private room,40.5937177232944,-74.0676641226089
Staten Island,Arrochar,4.5,80,Private room,40.5876860561417,-74.0698601023818
Staten Island,Arrochar,4.5,125,Entire home/apt,40.5926245056231,-74.066586738619307
Staten Island,Arrochar,4,625,Entire home/apt,40.5919297889197,-74.0647642621361
Staten Island,Arrochar,4,105,Private room,40.5941171046953,-74.0695485714667
Queens,Arverne,5,299,Private room,40.5893606080828,-73.7937445544981
Queens,Arverne,5,180,Entire home/apt,40.5973860683912,-73.8002368108089
Queens,Arverne,4.5,250,Entire home/apt,40.5926972007186,-73.7898959752346
Queens,Arverne,5,95,Private room,40.5883523658635,-73.7956533855228
Queens,Arverne,5,69,Private room,40.5898904970309,-73.7911670673591
Queens,Arverne,4.5,30,Shared room,40.5943903438437,-73.797704337389
Queens,Arverne,4.5,105,Private room,40.5905768321872,-73.7924750038017
Queens,Arverne,5,59,Private room,40.5890959905121,-73.7948352392581
Queens,Arverne,4.5,150,Entire home/apt,40.589207236968,-73.7947928538908
Queens,Arverne,4.5,95,Private room,40.5877574123366,-73.7930827323159
Queens,Arverne,4.5,55,Private room,40.5921005717175,-73.7928526613566
Queens,Arverne,4.5,110,Entire home/apt,40.5992920156864,-73.7969592034076
Queens,Arverne,5,42,Private room,40.5978563188662,-73.8001330053148
Queens,Arverne,4.5,25,Shared room,40.594170666927,-73.7978877076098
Queens,Arverne,4.5,30,Shared room,40.5924984029697,-73.7988279815954
Queens,Arverne,4.5,30,Shared room,40.5931098727222,-73.7977045128192
Queens,Arverne,4.5,95,Entire home/apt,40.5937642849408,-73.7999553424792
Queens,Arverne,3,30,Shared room,40.594306994617,-73.7978171245116
Queens,Arverne,5,80,Private room,40.5883431675901,-73.7950918338676
Queens,Arverne,5,101,Entire home/apt,40.5888237751003,-73.7959052904406
Queens,Arverne,5,55,Private room,40.5897086489331,-73.7925738339154
Queens,Arverne,5,450,Entire home/apt,40.5884284637437,-73.7990510354556
Queens,Arverne,4,20,Shared room,40.5931370602153,-73.7988612169078
Queens,Arverne,4.5,30,Shared room,40.593827630109,-73.7991616766817
Queens,Arverne,4.5,30,Private room,40.5910404784648,-73.7889207889792
Queens,Arverne,5,30,Shared room,40.5947237257862,-73.7981248281195
Queens,Arverne,5,30,Private room,40.5920760051557,-73.789170510404
Queens,Arverne,5,100,Entire home/apt,40.5909755988816,-73.800806953091
Queens,Arverne,4.5,30,Shared room,40.5925318010356,-73.7991949765936
